Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-1.2345867,1.4180217,180589.81,0.019490669,0.00029354886,1608.0,-49930.0,-49930.0,1.0
30000,-5.0585537,1.4166534,646526.44,0.022980716,0.00028739948,3561.5,-105594.5,-105594.5,1.0
40000,-8.197219,1.4161806,453890.0,0.021598224,0.00028124277,4411.5,-94884.0,-94884.0,1.0
50000,-11.204331,1.4173026,354221.6,0.026212342,0.00027506522,3788.0,-116470.66666666667,-116470.66666666667,1.0
60000,-14.526979,1.4168408,350696.94,0.026673121,0.0002688972,3076.5,-61805.625,-61805.625,1.0
70000,-18.122492,1.4154547,457007.72,0.025379183,0.00026274004,2721.2,-57402.375,-57402.375,1.0
80000,-22.64913,1.4148259,364071.38,0.021111315,0.0002565846,1402.3333333333333,-47292.875,-47292.875,1.0
90000,-26.228283,1.4144328,418836.1,0.019620256,0.0002504346,4137.4,-95826.6,-95826.6,1.0
100000,-29.883503,1.4138856,382317.0,0.023510361,0.0002442786,2307.5,-59736.5,-59736.5,1.0
110000,-34.37425,1.4130868,284151.88,0.022044769,0.00023810829,2548.714285714286,-34259.71428571428,-34259.71428571428,1.0
120000,-37.68296,1.4125439,335908.12,0.028609531,0.00023195162,1689.2,-30568.8,-30568.8,1.0
130000,-43.15574,1.4121044,326279.38,0.02175318,0.00022579025,2103.285714285714,-55405.71428571428,-55405.71428571428,1.0
140000,-46.992035,1.4120815,221341.19,0.022364149,0.00021961746,1696.6666666666667,-16056.166666666666,-16056.166666666666,1.0
150000,-50.12266,1.4125065,318920.6,0.019125637,0.00021346746,1427.375,-13098.3125,-13098.3125,1.0
160000,-53.10311,1.4120026,150913.2,0.021251867,0.00020728627,1848.8,-28497.1,-28497.1,1.0
170000,-56.158447,1.4108113,99105.766,0.015812462,0.00020110745,2036.0,-31104.333333333332,-31104.333333333332,1.0
180000,-59.02205,1.4103067,233324.97,0.02554164,0.0001949587,1421.2857142857142,-18230.785714285714,-18230.785714285714,1.0
190000,-62.199257,1.409924,195707.73,0.02637737,0.00018878763,1627.5,-18058.916666666668,-18058.916666666668,1.0
200000,-68.44478,1.4089758,497393.47,0.020482084,0.00018262026,1281.375,-31064.8125,-31064.8125,1.0
210000,-73.654015,1.4079795,288692.06,0.025626281,0.0001764631,1394.5,-15656.625,-15656.625,1.0
220000,-78.73322,1.4070673,336259.53,0.023613954,0.0001703011,1224.1666666666667,-29375.583333333332,-29375.583333333332,1.0
230000,-83.23453,1.4068309,234466.95,0.020750731,0.00016414508,1097.6666666666667,-22298.722222222223,-22298.722222222223,1.0
240000,-84.99959,1.4068995,150182.53,0.020817028,0.00015799508,1191.857142857143,-10110.285714285714,-10110.285714285714,1.0
250000,-86.572914,1.4064353,103255.97,0.018580228,0.00015182345,1432.2857142857142,-13233.214285714286,-13233.214285714286,1.0
260000,-92.034325,1.4070123,248228.33,0.023343585,0.00014566265,2008.0,-28233.35714285714,-28233.35714285714,1.0
270000,-96.69242,1.4080504,202013.27,0.025489774,0.00013950368,1246.0,-11135.642857142857,-11135.642857142857,1.0
280000,-94.411354,1.4082059,137073.86,0.026848992,0.00013334348,1354.7777777777778,-21120.555555555555,-21120.555555555555,1.0
290000,-100.37335,1.4080116,316303.5,0.025227334,0.00012718208,1165.0,-14892.375,-14892.375,1.0
300000,-103.50838,1.4080015,213163.77,0.022139372,0.00012100865,1116.75,-11478.25,-11478.25,1.0
310000,-103.19971,1.4075006,296020.28,0.017672079,0.000114858085,1325.888888888889,-20097.277777777777,-20097.277777777777,1.0
320000,-111.15866,1.4084536,230465.55,0.027318668,0.00010868167,1189.6666666666667,-28395.88888888889,-28395.88888888889,1.0
330000,-112.54131,1.4090482,296836.1,0.027716577,0.00010251006,1089.3333333333333,-15171.166666666666,-15171.166666666666,1.0
340000,-113.66228,1.4092588,321553.44,0.030044902,9.6331285e-05,1143.2222222222222,-14383.722222222223,-14383.722222222223,1.0
350000,-114.730484,1.4094855,142151.02,0.018665783,9.0151865e-05,1486.375,-25948.375,-25948.375,1.0
360000,-118.76384,1.409333,None,None,None,1335.4444444444443,-20323.11111111111,-20323.11111111111,1.0
370000,-125.24175,1.4096471,236306.64,0.022833783,8.3933504e-05,975.0,-20068.4375,-20068.4375,1.0
380000,-127.33141,1.4098122,348663.44,0.030270748,7.7779885e-05,865.625,-8495.388888888889,-8495.388888888889,1.0
390000,-120.79304,1.4097664,317009.1,0.024243908,7.162329e-05,1172.0,-19338.23076923077,-19338.23076923077,1.0
400000,-127.83912,1.4096501,126257.39,0.019184852,6.546908e-05,803.3,-10544.05,-10544.05,1.0
410000,-128.80681,1.4096707,184535.86,0.021529611,5.9288483e-05,872.3,-2451.95,-2451.95,1.0
420000,-126.881256,1.4097159,400924.4,0.024642708,5.3106683e-05,821.4545454545455,-14558.90909090909,-14558.90909090909,1.0
430000,-126.47748,1.4092593,229164.25,0.020954631,4.694648e-05,1053.0833333333333,-21882.166666666668,-21882.166666666668,1.0
