Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.3722221,104.95238095238095,3.0368688,-2.596552612759718,-2.596552612759718,1.0
20000,1.3751054,143.85714285714286,2.8139124,2.216677296459675,2.216677296459675,1.0
30000,1.3790954,140.98039215686273,4.275109,10.079457879906483,10.079457879906483,1.0
40000,1.3790025,118.48979591836735,3.3669689,-0.8818454877758513,-0.8818454877758513,1.0
50000,1.377867,217.41509433962264,4.85725,27.49579869730855,27.49579869730855,1.0
60000,1.3773173,109.84,3.0981367,-1.9751593502713185,-1.9751593502713185,1.0
70000,1.3758079,98.9090909090909,3.095785,-1.3144146090856306,-1.3144146090856306,1.0
80000,1.3758587,276.3191489361702,4.8714333,33.348703243769705,33.348703243769705,1.0
90000,1.3755959,98.52272727272727,3.5184171,-2.1945497232743283,-2.1945497232743283,1.0
100000,1.3745531,299.84090909090907,4.475729,38.85376117767935,38.85376117767935,1.0
110000,1.3735508,94.20454545454545,3.2555208,-1.8567531303587286,-1.8567531303587286,1.0
120000,1.3715755,94.22727272727273,2.2832859,-1.9423908047716727,-1.9423908047716727,1.0
130000,1.3694718,96.14634146341463,4.087687,-2.143150384582224,-2.143150384582224,1.0
140000,1.3682668,227.3111111111111,4.2760158,17.398812807268566,17.398812807268566,1.0
150000,1.3672019,98.47619047619048,4.9313383,-2.205019674308243,-2.205019674308243,1.0
160000,1.3658991,100.9,3.8795974,-1.3740051353350282,-1.3740051353350282,1.0
170000,1.3648378,254.74358974358975,2.8783038,-1.1859191014970605,-1.1859191014970605,1.0
180000,1.3645303,444.7105263157895,4.138951,122.23353173182561,122.23353173182561,1.0
190000,1.3643003,131.48387096774192,4.8517327,-1.4222552353335964,-1.4222552353335964,1.0
200000,1.3637837,308.03333333333336,5.704029,50.39689312676589,50.39689312676589,1.0
210000,1.362732,129.09375,3.7190068,-0.6164530590176582,-0.6164530590176582,1.0
220000,1.3610106,145.42857142857142,2.9229715,-1.4968102060790573,-1.4968102060790573,1.0
230000,1.3612314,151.92857142857142,4.3448024,0.7520449028483459,0.7520449028483459,1.0
240000,1.3612872,138.67857142857142,5.766581,-0.957687258720398,-0.957687258720398,1.0
250000,1.3601191,673.9642857142857,5.594749,257.5455932055733,257.5455932055733,1.0
260000,1.3591331,149.89655172413794,4.575712,0.21631470065692376,0.21631470065692376,1.0
270000,1.3588523,172.33333333333334,3.2530544,-1.0970575947846686,-1.0970575947846686,1.0
280000,1.3592894,565.695652173913,5.737144,4.19022960215807,4.19022960215807,1.0
290000,1.3585043,168.16666666666666,6.202584,1.0611229094987114,1.0611229094987114,1.0
300000,1.3576043,510.7857142857143,5.495554,153.4214799340282,153.4214799340282,1.0
310000,1.3566792,156.59259259259258,3.3284683,-0.503965507502909,-0.503965507502909,1.0
320000,1.3561816,578.8333333333334,3.8661926,157.9786439149951,157.9786439149951,1.0
330000,1.3561295,318.9230769230769,5.5207424,5.920142328796478,5.920142328796478,1.0
340000,1.3553817,712.3333333333334,6.69976,81.1661852762724,81.1661852762724,1.0
350000,1.3542997,163.25925925925927,6.8838124,6.244443701097259,6.244443701097259,1.0
360000,1.3540614,169.3181818181818,4.622302,2.2000590576366945,2.2000590576366945,1.0
370000,1.3536061,185.375,4.194146,0.02893085063745578,0.02893085063745578,1.0
380000,1.3534148,172.72727272727272,5.912703,-0.028720023279840298,-0.028720023279840298,1.0
390000,1.3532618,388.82608695652175,6.747337,14.345968499455763,14.345968499455763,1.0
400000,1.3528757,177.63636363636363,7.8452106,0.45829451287334616,0.45829451287334616,1.0
410000,1.3525293,185.2608695652174,5.0563545,-0.5135984398100687,-0.5135984398100687,1.0
420000,1.3521876,178.5909090909091,5.016802,4.246057695668677,4.246057695668677,1.0
430000,1.3520019,841.4347826086956,6.0859265,298.88986365723866,298.88986365723866,1.0
440000,1.3519051,186.0,5.6178255,2.7141305257876716,2.7141305257876716,1.0
450000,1.3518516,834.2173913043479,6.735258,26.137505467360217,26.137505467360217,1.0
460000,1.3517296,206.0,5.314267,-0.9809386093508113,-0.9809386093508113,1.0
470000,1.3514209,208.28571428571428,6.7412286,4.283565607099306,4.283565607099306,1.0
480000,1.351241,172.5,6.1841345,0.9641763766606649,0.9641763766606649,1.0
490000,1.3511671,230.15,5.1583056,4.54737659022212,4.54737659022212,1.0
500000,1.3511245,955.8,5.7299523,303.85847303494813,303.85847303494813,1.0
