Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.3722222,6.568942,253.46153846153845,-3.074999997392297,-3.074999997392297,1.0
20000,1.3722422,6.2729063,437.4375,-3.8941176836104954,-3.8941176836104954,1.0
30000,1.3729706,6.1477847,405.2352941176471,-4.223529419916518,-4.223529419916518,1.0
40000,1.3742733,5.4068103,366.5,-4.462500013876706,-4.462500013876706,1.0
50000,1.3755643,4.9891977,516.2941176470588,-3.370588221532457,-3.370588221532457,1.0
60000,1.3753196,4.2981606,368.8888888888889,-3.8833333233164415,-3.8833333233164415,1.0
70000,1.3754752,3.995193,290.4736842105263,-3.8736842070755206,-3.8736842070755206,1.0
80000,1.3754164,3.6321702,313.9,-3.9650000035762787,-3.9650000035762787,1.0
90000,1.3759992,3.11474,388.75,-3.170000010356307,-3.170000010356307,1.0
100000,1.3772155,3.095253,313.84,-3.6480000013113023,-3.6480000013113023,1.0
110000,1.377802,2.70778,251.95454545454547,-3.1454545591365206,-3.1454545591365206,1.0
120000,1.3775128,2.7424946,312.23809523809524,-3.4571428756628717,-3.4571428756628717,1.0
130000,1.3768349,2.314095,308.0952380952381,-3.7047618875900903,-3.7047618875900903,1.0
140000,1.3767483,2.2945206,317.1818181818182,-3.4590908973054453,-3.4590908973054453,1.0
150000,1.3764166,2.0332975,340.05555555555554,-2.699999987251229,-2.699999987251229,1.0
160000,1.376127,2.0421793,336.94736842105266,-2.8736842145261012,-2.8736842145261012,1.0
170000,1.376377,1.8631289,402.57142857142856,-2.942857150165808,-2.942857150165808,1.0
180000,1.3764803,1.4493122,315.42105263157896,-2.6526315871037935,-2.6526315871037935,1.0
190000,1.3760209,1.5548605,311.0,-3.564999985694885,-3.564999985694885,1.0
200000,1.3751863,1.5996499,419.72222222222223,-2.694444445686208,-2.694444445686208,1.0
210000,1.3744458,1.0305762,388.5,-3.562499993480742,-3.562499993480742,1.0
220000,1.37389,1.2061615,411.4375,-2.256249983794987,-2.256249983794987,1.0
230000,1.3734716,1.0572299,2309.4210526315787,-2.952631565693178,-2.952631565693178,1.0
240000,1.3733832,1.4658668,376.5625,-2.4374999864958227,-2.4374999864958227,1.0
250000,1.3734943,0.9068042,353.2631578947368,-2.9210526241283667,-2.9210526241283667,1.0
260000,1.3739464,1.1635234,378.8125,-3.4999999403953552,-3.4999999403953552,1.0
