Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.3839728,-28.637926,210.72727272727272,77.32954676313834,77.32954676313834,1.0
20000,1.3839742,-26.62703,214.08695652173913,71.17111315197415,71.17111315197415,1.0
30000,1.3828416,-25.39793,219.17021276595744,78.2812515621384,78.2812515621384,1.0
40000,1.3803898,-23.847765,222.45238095238096,79.12143028633935,79.12143028633935,1.0
50000,1.377149,-23.172318,219.45238095238096,62.89285871528444,62.89285871528444,1.0
60000,1.3757124,-22.429081,246.47826086956522,90.55217564365138,90.55217564365138,1.0
70000,1.3734722,-21.12925,220.02325581395348,68.73255996925886,68.73255996925886,1.0
80000,1.3704745,-20.485357,217.4318181818182,92.21818312189795,92.21818312189795,1.0
90000,1.3691027,-20.24413,236.0,58.18666845692529,58.18666845692529,1.0
100000,1.3682511,-19.282766,216.0909090909091,78.25348962739457,78.25348962739457,1.0
110000,1.3674812,-18.885817,214.86363636363637,79.04222320715586,79.04222320715586,1.0
120000,1.3671451,-17.704332,246.8139534883721,68.13255989828775,68.13255989828775,1.0
130000,1.3660749,-17.867132,196.3095238095238,75.28292836503284,75.28292836503284,1.0
140000,1.3639091,-16.39992,281.9767441860465,86.67954763499174,86.67954763499174,1.0
150000,1.3628815,-16.584435,197.6,78.42439124642348,78.42439124642348,1.0
160000,1.3639038,-15.253857,250.5,74.61363834684545,74.61363834684545,1.0
170000,1.3645066,-15.21938,193.0681818181818,67.40454677831043,67.40454677831043,1.0
180000,1.3628714,-14.623238,196.14285714285714,77.1023824328468,77.1023824328468,1.0
190000,1.3612071,-13.368555,306.34090909090907,77.71136678077958,77.71136678077958,1.0
200000,1.3602803,-13.732586,193.82926829268294,71.167500603199,71.167500603199,1.0
210000,1.3589888,-12.923043,268.3636363636364,81.74444712267982,81.74444712267982,1.0
220000,1.3579297,-13.019221,194.34883720930233,67.75348943333293,67.75348943333293,1.0
230000,1.3573296,-12.012556,262.5238095238095,69.50000190451031,69.50000190451031,1.0
240000,1.3569317,-12.114605,244.95348837209303,58.2697693913482,58.2697693913482,1.0
250000,1.3567984,-11.223494,220.4418604651163,88.65581492490547,88.65581492490547,1.0
260000,1.3567736,-12.105027,254.02272727272728,66.43953727566918,66.43953727566918,1.0
270000,1.3564073,-10.376174,218.71428571428572,85.0488378225371,85.0488378225371,1.0
280000,1.3562436,-10.930753,196.71428571428572,74.20238153423581,74.20238153423581,1.0
290000,1.3553042,-9.595546,261.6511627906977,69.49070020331892,69.49070020331892,1.0
300000,1.353988,-8.972098,235.61904761904762,99.74523935999188,99.74523935999188,1.0
310000,1.3530098,-9.266918,226.0909090909091,73.40465191907661,73.40465191907661,1.0
320000,1.3526218,-8.778581,246.5681818181818,86.054546659643,86.054546659643,1.0
330000,1.352341,-8.640058,227.88636363636363,64.05000122026964,64.05000122026964,1.0
340000,1.3520074,-8.521545,217.26190476190476,66.65116398833518,66.65116398833518,1.0
350000,1.3516132,-9.081641,248.75555555555556,74.42727484215389,74.42727484215389,1.0
360000,1.3512104,-7.5155926,224.35714285714286,89.58809616452172,89.58809616452172,1.0
370000,1.3504422,-7.603522,236.0487804878049,76.79523941448757,76.79523941448757,1.0
380000,1.3506867,-7.040996,228.2173913043478,80.89111246797773,80.89111246797773,1.0
390000,1.3504213,-7.6581173,226.6818181818182,54.163637751882725,54.163637751882725,1.0
400000,1.3503987,-7.0358295,226.0222222222222,80.82608827300693,80.82608827300693,1.0
410000,1.3505111,-7.070896,212.5909090909091,77.85454700751738,77.85454700751738,1.0
420000,1.350321,-7.0593786,222.80851063829786,65.90425654167825,65.90425654167825,1.0
430000,1.3501575,-6.81664,222.0888888888889,75.81591046940197,75.81591046940197,1.0
440000,1.3500965,-6.5293245,216.88372093023256,81.07272813536905,81.07272813536905,1.0
450000,1.3500589,-6.635526,211.58333333333334,63.62708469231924,63.62708469231924,1.0
460000,1.3501018,-6.1888022,203.79545454545453,70.64545524120331,70.64545524120331,1.0
470000,1.3501618,-5.3507442,244.42222222222222,76.1044463025199,76.1044463025199,1.0
480000,1.3501503,-5.820871,218.02173913043478,69.4333344247606,69.4333344247606,1.0
490000,1.3501095,-5.1726766,216.2888888888889,83.04782675919326,83.04782675919326,1.0
500000,1.3500842,-6.013295,216.6595744680851,73.36170359875294,73.36170359875294,1.0
