Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.0006132,93.26829268292683,3543.852,2959.641704940796,2959.641704940796,1.0
20000,1.0001518,277.79487179487177,2735.316,-3602.7326436856897,-3602.7326436856897,1.0
30000,1.0000026,420.75,2007.3146,18355.80983352661,18355.80983352661,1.0
40000,0.99916035,1687.6666666666667,1534.3402,14011.949979146322,14011.949979146322,1.0
50000,0.99906284,1157.642857142857,1915.3357,30686.35751215617,30686.35751215617,1.0
60000,0.99823743,72.79545454545455,3007.8218,-929.6404558264691,-929.6404558264691,1.0
70000,0.99925697,368.50847457627117,3224.6704,8047.230044607389,8047.230044607389,1.0
80000,1.0000328,179.76,2606.2256,11663.284221801758,11663.284221801758,1.0
90000,0.99993384,1051.5,1708.9005,22616.93914794922,22616.93914794922,1.0
100000,0.99998397,5098.0,1381.052,62237.56105804443,62237.56105804443,1.0
110000,0.99995995,654.5348837209302,2815.0713,12657.606298224871,12657.606298224871,1.0
120000,1.0004228,190.20338983050848,3528.696,8047.475584644382,8047.475584644382,1.0
130000,1.0022714,182.71052631578948,3186.499,11726.754600123355,11726.754600123355,1.0
140000,1.0038631,852.6666666666666,1848.4158,26047.976043701172,26047.976043701172,1.0
150000,1.004191,3103.5,1675.1843,3817.7658920288086,3817.7658920288086,1.0
160000,1.0043936,655.3333333333334,3080.787,24917.13479089737,24917.13479089737,1.0
170000,1.0044872,144.95081967213116,3557.4539,8314.176375850555,8314.176375850555,1.0
180000,1.0042665,184.25,2877.3,6041.460590362549,6041.460590362549,1.0
190000,1.0046055,1031.0,2248.7314,19296.962646484375,19296.962646484375,1.0
200000,1.0051504,1792.625,1927.1625,1981.4216458797455,1981.4216458797455,1.0
210000,1.0054579,798.9090909090909,2499.125,18860.75216783796,18860.75216783796,1.0
220000,1.006363,195.8679245283019,3599.4656,9387.790837605795,9387.790837605795,1.0
230000,1.0082052,75.37142857142857,2623.2297,471.3328578404018,471.3328578404018,1.0
240000,1.0095907,1922.6666666666667,2278.474,-1473.7331097920735,-1473.7331097920735,1.0
250000,1.0091356,1456.75,2072.9265,15510.40104675293,15510.40104675293,1.0
260000,1.0083896,1056.5454545454545,1978.2664,34863.53960210627,34863.53960210627,1.0
270000,1.0077506,314.29787234042556,3003.1562,5431.335757316427,5431.335757316427,1.0
280000,1.0077388,148.64102564102564,2516.1243,520.9746977977263,520.9746977977263,1.0
290000,1.0087256,982.9375,2344.2126,10924.195816516876,10924.195816516876,1.0
300000,1.0110707,1535.2,1902.0344,27481.153198242188,27481.153198242188,1.0
310000,1.0098486,1246.4,1974.7373,18239.26750793457,18239.26750793457,1.0
320000,1.0093973,298.9142857142857,2812.011,5765.319152832031,5765.319152832031,1.0
330000,1.0102768,286.92857142857144,2598.6355,4371.053169613793,4371.053169613793,1.0
340000,1.0119463,481.82758620689657,2773.8958,17013.812539462386,17013.812539462386,1.0
350000,1.0121526,1520.75,2023.8137,30521.01831817627,30521.01831817627,1.0
360000,1.0119824,447.3333333333333,2166.9236,10762.423380533854,10762.423380533854,1.0
370000,1.0121437,386.5151515151515,2867.3184,8631.253137761896,8631.253137761896,1.0
380000,1.0122392,305.5882352941176,2912.6885,7244.32446640613,7244.32446640613,1.0
390000,1.0129856,405.12820512820514,3272.8022,18486.881421602688,18486.881421602688,1.0
400000,1.0124335,445.0,2155.4707,22107.40299987793,22107.40299987793,1.0
410000,1.0132091,1861.5,2168.1711,30485.81568145752,30485.81568145752,1.0
420000,1.0121298,595.8518518518518,2832.5613,19919.199730767145,19919.199730767145,1.0
430000,1.0115327,298.66101694915255,3492.8074,9203.847437825696,9203.847437825696,1.0
440000,1.0116216,142.30232558139534,3375.8499,7971.401392156427,7971.401392156427,1.0
450000,1.0111171,347.3333333333333,2763.0522,10485.887064615885,10485.887064615885,1.0
