Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.3751297,-774.796,199.16129032258064,-44071.572234122985,-44071.572234122985,1.0
20000,1.3744808,-946.8355,718.8333333333334,155601.2413397895,155601.2413397895,1.0
30000,1.3737735,-921.1033,203.16666666666666,-28261.26534016927,-28261.26534016927,1.0
40000,1.3730197,-880.51263,765.2777777777778,172717.246319241,172717.246319241,1.0
50000,1.3732172,-836.5474,839.6153846153846,162175.00943227916,162175.00943227916,1.0
60000,1.3739758,-1078.9257,665.8333333333334,131523.33373006186,131523.33373006186,1.0
70000,1.3732167,-834.8403,715.65,209016.1515197754,209016.1515197754,1.0
80000,1.3719665,-721.5052,436.96,107716.46896484375,107716.46896484375,1.0
90000,1.3705262,-824.0337,540.5217391304348,125727.59205163043,125727.59205163043,1.0
100000,1.369431,-762.83,683.7222222222222,97419.29663764106,97419.29663764106,1.0
110000,1.3686383,-800.96844,406.57142857142856,34636.126447405135,34636.126447405135,1.0
120000,1.3679702,-764.7013,464.4642857142857,62489.560001918246,62489.560001918246,1.0
130000,1.3674495,-724.1652,349.875,57654.364095052086,57654.364095052086,1.0
140000,1.3681867,-762.3723,574.3809523809524,149794.42159888858,149794.42159888858,1.0
150000,1.3688661,-898.8355,709.875,61836.81836809431,61836.81836809431,1.0
160000,1.3682084,-831.9645,644.7857142857143,193034.85556640624,193034.85556640624,1.0
170000,1.3674871,-742.94794,613.695652173913,175553.04335088315,175553.04335088315,1.0
180000,1.3674605,-753.48865,519.4347826086956,55429.08425239895,55429.08425239895,1.0
190000,1.3670535,-721.5622,352.625,35441.067726135254,35441.067726135254,1.0
200000,1.3657289,-786.66705,682.4666666666667,207293.9224690755,207293.9224690755,1.0
210000,1.3645223,-823.8656,627.5238095238095,151642.2235961914,151642.2235961914,1.0
220000,1.3639598,-705.1635,438.5238095238095,64625.33724698154,64625.33724698154,1.0
230000,1.3637081,-722.10333,318.95652173913044,44882.84412151834,44882.84412151834,1.0
240000,1.3636762,-745.21436,606.7142857142857,154807.79997180757,154807.79997180757,1.0
250000,1.3630784,-724.1432,516.6,69015.89905090332,69015.89905090332,1.0
260000,1.3626081,-734.9836,428.7,80312.03867797852,80312.03867797852,1.0
270000,1.361233,-685.5446,561.875,109178.1621017456,109178.1621017456,1.0
280000,1.3603014,-686.4862,411.17241379310343,80994.61006427633,80994.61006427633,1.0
290000,1.3601357,-724.1267,428.0952380952381,66174.20503743489,66174.20503743489,1.0
300000,1.3605376,-665.7238,732.5,223160.74693806967,223160.74693806967,1.0
310000,1.3604971,-655.6931,455.75,103569.63983917236,103569.63983917236,1.0
320000,1.361139,-696.109,641.7777777777778,165266.8287387424,165266.8287387424,1.0
330000,1.3606839,-676.5265,281.45,14390.542053222656,14390.542053222656,1.0
340000,1.3589898,-707.4722,816.1176470588235,221669.23815199907,221669.23815199907,1.0
