Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.065933,230.16666666666666,4776.569,11593.097697567971,11593.097697567971,1.0
20000,1.0661614,229.93023255813952,4673.87,12137.097642510436,12137.097642510436,1.0
30000,1.0659807,230.77272727272728,4702.832,11760.208862416446,11760.208862416446,1.0
40000,1.0667621,242.95348837209303,4770.6367,12253.678121310333,12253.678121310333,1.0
50000,1.0668745,236.375,4769.3955,11148.76349499747,11148.76349499747,1.0
60000,1.0662904,222.75,4772.9966,11891.232328102755,11891.232328102755,1.0
70000,1.0667055,203.3125,4739.133,10677.578630574979,10677.578630574979,1.0
80000,1.0676183,247.475,4781.763,12353.666601027595,12353.666601027595,1.0
90000,1.066824,225.41463414634146,4711.076,12292.099301641363,12292.099301641363,1.0
100000,1.0678344,256.6222222222222,4794.357,14506.87609718994,14506.87609718994,1.0
110000,1.0694622,221.2439024390244,4710.5957,11799.438479818049,11799.438479818049,1.0
120000,1.0707372,220.26315789473685,4692.4023,11848.798617971179,11848.798617971179,1.0
130000,1.0723915,278.609756097561,4710.6006,15623.925244897071,15623.925244897071,1.0
140000,1.073761,228.0,4587.8145,12008.75748150628,12008.75748150628,1.0
150000,1.073741,273.3333333333333,4634.9565,15975.52177703075,15975.52177703075,1.0
160000,1.0740075,218.6578947368421,4597.828,11795.241438364132,11795.241438364132,1.0
170000,1.0745298,292.75,4642.245,17216.19958596821,17216.19958596821,1.0
180000,1.0748581,221.6,4658.91,11859.02763474267,11859.02763474267,1.0
190000,1.0750012,249.9189189189189,4677.3647,13926.220304878781,13926.220304878781,1.0
200000,1.0735704,249.1315789473684,4660.8735,13649.474579628753,13649.474579628753,1.0
210000,1.071765,216.26829268292684,4650.651,11519.07356469115,11519.07356469115,1.0
220000,1.0710479,319.3243243243243,4645.082,21813.048017118075,21813.048017118075,1.0
230000,1.0704329,221.6315789473684,4596.1562,11757.412608477514,11757.412608477514,1.0
240000,1.0706056,217.10526315789474,4563.6553,11564.946333007743,11564.946333007743,1.0
250000,1.0709938,304.6585365853659,4662.1875,18436.438040922963,18436.438040922963,1.0
260000,1.0717138,226.37142857142857,4650.643,12185.851222795462,12185.851222795462,1.0
270000,1.0723176,317.675,4618.7183,23478.093262595434,23478.093262595434,1.0
280000,1.0727715,297.7027027027027,4592.1733,16951.26865464248,16951.26865464248,1.0
290000,1.072658,221.6315789473684,4670.691,11866.63264005945,11866.63264005945,1.0
300000,1.0724143,224.9142857142857,4615.5874,12248.941341824002,12248.941341824002,1.0
