Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.91820234,112.8452380952381,731.0346,-915.1157790138608,-915.1157790138608,1.0
20000,0.9196105,128.0126582278481,615.58813,5395.457299244868,5395.457299244868,1.0
30000,0.9206128,118.02409638554217,672.7292,-1063.260813894726,-1063.260813894726,1.0
40000,0.9206324,110.425,649.9823,-1206.2485656261445,-1206.2485656261445,1.0
50000,0.921496,132.20481927710844,690.0845,9698.616453556788,9698.616453556788,1.0
60000,0.92235285,118.94666666666667,681.1377,-1124.2590303548177,-1124.2590303548177,1.0
70000,0.9231211,146.97368421052633,636.763,7932.682851690995,7932.682851690995,1.0
80000,0.9215937,114.36486486486487,703.7224,-958.9136187063681,-958.9136187063681,1.0
90000,0.92034364,149.0,704.54456,10876.822400716146,10876.822400716146,1.0
100000,0.9198069,121.57142857142857,678.41943,-945.7064138139997,-945.7064138139997,1.0
110000,0.9194105,162.81159420289856,685.3789,10385.028865095497,10385.028865095497,1.0
120000,0.9193851,143.07246376811594,672.39716,156.68212909974915,156.68212909974915,1.0
130000,0.91878325,156.23809523809524,660.66486,6170.382429879809,6170.382429879809,1.0
140000,0.9175419,146.09375,664.6778,-1080.2265377491713,-1080.2265377491713,1.0
150000,0.9164745,202.6153846153846,583.77747,16247.492181704594,16247.492181704594,1.0
160000,0.9150952,137.96969696969697,616.1743,-1228.080423889738,-1228.080423889738,1.0
170000,0.9142481,162.42424242424244,711.22577,5542.231983762799,5542.231983762799,1.0
180000,0.91451824,145.40322580645162,653.4815,-862.9216139051649,-862.9216139051649,1.0
190000,0.9140639,152.96491228070175,612.62335,-643.6517785055596,-643.6517785055596,1.0
200000,0.9126393,147.52380952380952,642.3971,-1112.2617004148422,-1112.2617004148422,1.0
210000,0.9118262,201.03225806451613,736.6217,28060.423596215627,28060.423596215627,1.0
220000,0.9118167,156.34920634920636,688.7861,-628.6365597437299,-628.6365597437299,1.0
230000,0.9122949,166.44,621.0736,-406.04685585021974,-406.04685585021974,1.0
240000,0.91252595,157.2982456140351,658.9407,-845.9106238515753,-845.9106238515753,1.0
250000,0.91234905,248.32075471698113,657.10803,37012.20614850746,37012.20614850746,1.0
260000,0.91170686,191.73809523809524,594.7807,-1062.1670729319255,-1062.1670729319255,1.0
270000,0.9112462,241.88888888888889,495.0306,12999.622629483541,12999.622629483541,1.0
280000,0.9105578,241.68085106382978,601.61615,14482.101191338072,14482.101191338072,1.0
290000,0.91020626,234.20408163265307,632.2439,27986.212402810856,27986.212402810856,1.0
300000,0.91030055,189.58,678.6707,-1024.9323305402484,-1024.9323305402484,1.0
310000,0.9101001,211.94871794871796,533.64166,4655.939496803284,4655.939496803284,1.0
320000,0.9096643,244.16666666666666,486.09402,8065.457427236769,8065.457427236769,1.0
330000,0.9095067,268.95348837209303,624.7601,45111.74644541186,45111.74644541186,1.0
340000,0.9095765,204.9268292682927,597.3972,-526.1864199754668,-526.1864199754668,1.0
350000,0.9100969,258.02702702702703,462.0386,24561.65393257141,24561.65393257141,1.0
360000,0.9096747,292.7608695652174,616.7322,39988.22049721251,39988.22049721251,1.0
370000,0.9094007,204.69387755102042,692.89746,8877.410906632742,8877.410906632742,1.0
380000,0.90882534,202.5744680851064,676.9857,-425.11202986696935,-425.11202986696935,1.0
390000,0.9082927,252.27777777777777,469.84665,16707.506613344758,16707.506613344758,1.0
400000,0.90800893,223.6315789473684,508.94873,8444.325608846304,8444.325608846304,1.0
410000,0.9078265,280.05263157894734,592.29877,36165.389252638204,36165.389252638204,1.0
420000,0.9072739,209.75555555555556,602.6176,-345.22672046314585,-345.22672046314585,1.0
430000,0.9070306,321.9375,520.7607,49580.5995760831,49580.5995760831,1.0
440000,0.90700907,235.9189189189189,389.5826,-569.2405125386006,-569.2405125386006,1.0
450000,0.9069732,312.4102564102564,566.0125,39628.00873771081,39628.00873771081,1.0
460000,0.9067954,211.26190476190476,604.6904,-99.77416910443988,-99.77416910443988,1.0
470000,0.9066487,300.02777777777777,524.2159,36210.31569862366,36210.31569862366,1.0
480000,0.9065763,253.52941176470588,414.08524,5438.793715420891,5438.793715420891,1.0
490000,0.9065657,319.4871794871795,539.78424,57296.48199873704,57296.48199873704,1.0
500000,0.9065584,219.20833333333334,682.40247,-32.2325545946757,-32.2325545946757,1.0
