Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
110000,0.8349065,146.675,355.9305,-5145.517855453491,-5145.517855453491,1.0
120000,0.83556354,181.83333333333334,355.41037,-2062.873373067604,-2062.873373067604,1.0
130000,0.83575827,159.14,148.31877,-1773.2053360284544,-1773.2053360284544,1.0
140000,0.8357135,210.11864406779662,128.95811,21470.024128880996,21470.024128880996,1.0
150000,0.8350717,127.0327868852459,123.10163,-7613.667026888939,-7613.667026888939,1.0
160000,0.83401966,155.66666666666666,208.25905,-7433.639391217913,-7433.639391217913,1.0
170000,0.83332753,183.06451612903226,204.597,9354.6480985369,9354.6480985369,1.0
180000,0.83348024,144.64912280701753,162.18277,-7114.977139389306,-7114.977139389306,1.0
190000,0.8335985,146.9607843137255,159.1099,-3616.6937881170534,-3616.6937881170534,1.0
200000,0.8330896,187.2,255.57433,13194.091487121583,13194.091487121583,1.0
210000,0.8321279,198.7391304347826,359.12405,19059.066553198772,19059.066553198772,1.0
220000,0.8317671,254.45833333333334,253.29158,40476.093280156456,40476.093280156456,1.0
230000,0.8319978,149.01492537313433,158.84544,4626.468481946347,4626.468481946347,1.0
240000,0.8316106,139.19354838709677,175.71344,-5401.168247160364,-5401.168247160364,1.0
250000,0.83061504,164.4406779661017,338.94025,3960.732086440264,3960.732086440264,1.0
260000,0.83002007,127.69565217391305,19.828089,-2086.410788835798,-2086.410788835798,1.0
270000,0.829999,173.46938775510205,88.03234,11839.732990809849,11839.732990809849,1.0
280000,0.82924235,167.9090909090909,311.5552,6537.99491743608,6537.99491743608,1.0
290000,0.8286783,168.6086956521739,359.6841,1879.860865385636,1879.860865385636,1.0
300000,0.82769406,270.1276595744681,223.42656,52194.01851069673,52194.01851069673,1.0
310000,0.8272882,155.6206896551724,46.04656,735.882252660291,735.882252660291,1.0
320000,0.8271558,158.56140350877192,187.99751,-3348.1186812264577,-3348.1186812264577,1.0
330000,0.82691044,142.9056603773585,292.1699,-6429.505214832448,-6429.505214832448,1.0
340000,0.82683784,216.30769230769232,80.70873,39180.21315542368,39180.21315542368,1.0
350000,0.8264142,141.0612244897959,243.98488,-5504.986410827637,-5504.986410827637,1.0
360000,0.8260301,155.09302325581396,287.4685,-4854.778902275618,-4854.778902275618,1.0
370000,0.8258568,157.2439024390244,330.3754,-4627.769925559439,-4627.769925559439,1.0
380000,0.82548124,270.47058823529414,169.42155,56829.54398375867,56829.54398375867,1.0
390000,0.82540774,190.74074074074073,159.64388,18199.782832307636,18199.782832307636,1.0
400000,0.82502544,170.2941176470588,266.98547,-1731.257713476817,-1731.257713476817,1.0
410000,0.8245639,432.34615384615387,249.27136,57180.4032862527,57180.4032862527,1.0
420000,0.82463974,284.3333333333333,93.693054,64282.45292904502,64282.45292904502,1.0
430000,0.8247685,156.82978723404256,346.2252,-2971.548257827759,-2971.548257827759,1.0
440000,0.82492965,156.6829268292683,313.55826,-4741.283086823254,-4741.283086823254,1.0
450000,0.8250105,203.8409090909091,225.47734,10878.85404552113,10878.85404552113,1.0
460000,0.8249606,181.30188679245282,147.20378,13216.98181526616,13216.98181526616,1.0
470000,0.8250067,239.67307692307693,104.54408,36664.95415980999,36664.95415980999,1.0
480000,0.8249652,179.77777777777777,133.91132,13786.13465336391,13786.13465336391,1.0
490000,0.82486635,150.0,75.575455,-2771.755699157715,-2771.755699157715,1.0
500000,0.8248529,212.17241379310346,12.993375,25187.544108245333,25187.544108245333,1.0
