Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.2124873,-46.779808,134.83018867924528,-83.21922038151668,-83.21922038151668,1.0
20000,1.2126548,-43.489872,158.38805970149255,-38.683813768274646,-38.683813768274646,1.0
30000,1.2119614,-76.220276,141.12121212121212,-394.1621218016653,-394.1621218016653,1.0
40000,1.2130544,-115.20608,137.7027027027027,-649.9310757405049,-649.9310757405049,1.0
50000,1.2148278,-60.750042,137.8,-240.7954450665098,-240.7954450665098,1.0
60000,1.2148108,-57.405125,140.92537313432837,-265.9492478441836,-265.9492478441836,1.0
70000,1.2149299,-55.185547,175.62857142857143,-20.663184683663506,-20.663184683663506,1.0
80000,1.215168,-49.50025,138.8840579710145,-171.03622243024301,-171.03622243024301,1.0
90000,1.2157912,-68.59071,144.92957746478874,-369.60985774725253,-369.60985774725253,1.0
100000,1.2160759,-61.139404,139.2394366197183,-300.39305501514013,-300.39305501514013,1.0
110000,1.2156082,-51.28522,143.44776119402985,-350.5895505307326,-350.5895505307326,1.0
120000,1.2158265,-74.15088,136.07692307692307,-361.8818131649133,-361.8818131649133,1.0
130000,1.2164348,-77.33227,145.14705882352942,-318.85440327139463,-318.85440327139463,1.0
140000,1.2166053,-38.493904,141.08695652173913,-87.89129577857861,-87.89129577857861,1.0
150000,1.2175145,-48.95603,140.13636363636363,-191.67726765256938,-191.67726765256938,1.0
160000,1.2188771,-85.056274,129.52631578947367,-450.1919291646857,-450.1919291646857,1.0
170000,1.2190008,-65.36153,133.29166666666666,-282.9185646602086,-282.9185646602086,1.0
180000,1.2184308,-53.42468,139.54545454545453,-296.4357281585238,-296.4357281585238,1.0
190000,1.2181929,-59.37879,143.52238805970148,-261.291036862046,-261.291036862046,1.0
200000,1.2177944,-58.116592,141.0281690140845,-224.96526707543268,-224.96526707543268,1.0
210000,1.2168974,-48.70107,139.1044776119403,-238.74847481467506,-238.74847481467506,1.0
220000,1.2158824,-74.67119,209.703125,434.60623010488655,434.60623010488655,1.0
230000,1.2158426,-67.307526,139.4927536231884,-357.6218951633998,-357.6218951633998,1.0
240000,1.216517,-60.91852,141.92957746478874,-331.01285394941056,-331.01285394941056,1.0
250000,1.2168504,-51.262756,126.76119402985074,-171.23528811510872,-171.23528811510872,1.0
260000,1.2173097,-62.591152,133.0921052631579,-317.9144258626302,-317.9144258626302,1.0
270000,1.2175089,-79.52622,130.10526315789474,-391.70144020883663,-391.70144020883663,1.0
280000,1.2176429,-75.95655,130.31428571428572,-419.51668919154577,-419.51668919154577,1.0
290000,1.2172898,-47.853664,133.3013698630137,-224.9945899860279,-224.9945899860279,1.0
300000,1.2174455,-57.80021,135.0,-291.3675998096735,-291.3675998096735,1.0
310000,1.2163863,-51.75537,176.9041095890411,469.72135778975814,469.72135778975814,1.0
320000,1.2131737,-57.471035,131.5810810810811,-262.72820360366615,-262.72820360366615,1.0
330000,1.2116518,-53.728153,130.55405405405406,-200.4195966978331,-200.4195966978331,1.0
340000,1.2105241,-48.471085,138.54929577464787,-280.8028143224582,-280.8028143224582,1.0
350000,1.2106892,-81.0951,137.575,-416.9454503245168,-416.9454503245168,1.0
360000,1.2094121,-49.20761,131.21333333333334,-256.30810165405273,-256.30810165405273,1.0
370000,1.2095697,-54.778934,132.41176470588235,-206.6784988298808,-206.6784988298808,1.0
380000,1.209956,-59.318638,130.84,-233.24638595581055,-233.24638595581055,1.0
390000,1.2107733,-62.02555,133.9718309859155,-239.04787933994348,-239.04787933994348,1.0
400000,1.2115213,-57.112877,135.953125,-278.4984053354415,-278.4984053354415,1.0
410000,1.2135495,-49.395187,144.66197183098592,-242.06867488225302,-242.06867488225302,1.0
420000,1.2156802,-58.592716,181.27692307692308,-97.48313933152419,-97.48313933152419,1.0
430000,1.2148905,-49.450367,149.18840579710144,-203.29419564509737,-203.29419564509737,1.0
440000,1.213056,-53.742634,134.5483870967742,-251.25321726645194,-251.25321726645194,1.0
450000,1.2121459,-50.211056,154.08333333333334,-313.4222204950121,-313.4222204950121,1.0
460000,1.2122222,-47.294773,150.33333333333334,-253.92332852681477,-253.92332852681477,1.0
470000,1.2122511,-55.66433,158.17391304347825,-454.3985563084699,-454.3985563084699,1.0
480000,1.2116535,-53.103733,155.1076923076923,-256.03808642190603,-256.03808642190603,1.0
490000,1.2104115,-48.999847,143.21666666666667,-176.97868234603132,-176.97868234603132,1.0
500000,1.2081072,-50.968292,160.9344262295082,-334.8799385320945,-334.8799385320945,1.0
510000,1.2058525,-43.303314,172.17543859649123,-230.64912146852728,-230.64912146852728,1.0
520000,1.2053256,-37.347218,152.01694915254237,-212.969492055602,-212.969492055602,1.0
530000,1.2054052,-41.08199,168.39655172413794,-229.87287605414957,-229.87287605414957,1.0
540000,1.2051991,-40.277122,167.859649122807,-209.2124921934945,-209.2124921934945,1.0
550000,1.2046313,-36.593193,206.33333333333334,696.2189362645149,696.2189362645149,1.0
560000,1.2041256,-33.974163,157.3448275862069,-113.81723601242592,-113.81723601242592,1.0
570000,1.204429,-36.158524,176.38333333333333,-219.86832949320475,-219.86832949320475,1.0
580000,1.2047335,-46.312073,167.51724137931035,-289.45344208026756,-289.45344208026756,1.0
590000,1.2049689,-26.002256,179.23728813559322,-300.20339846206923,-300.20339846206923,1.0
600000,1.2063401,-52.308727,160.17543859649123,-364.62630402414425,-364.62630402414425,1.0
610000,1.2066557,-46.44946,156.61818181818182,-277.94726458462804,-277.94726458462804,1.0
620000,1.2058115,-39.825813,167.9047619047619,-175.52380631461975,-175.52380631461975,1.0
630000,1.2060587,-33.05878,172.2962962962963,-85.90554661220975,-85.90554661220975,1.0
640000,1.2067796,-40.31143,172.05263157894737,-171.31051803053472,-171.31051803053472,1.0
650000,1.2078037,-48.23227,174.31034482758622,-356.53103587545195,-356.53103587545195,1.0
660000,1.2079899,-55.826626,156.07142857142858,-440.37142126900807,-440.37142126900807,1.0
670000,1.2088233,-37.81859,170.1,-300.6311472595715,-300.6311472595715,1.0
680000,1.209498,-29.562202,157.50877192982455,-156.53333382857474,-156.53333382857474,1.0
690000,1.2083166,-21.022821,248.1320754716981,309.57802095953025,309.57802095953025,1.0
700000,1.2093124,-38.889812,176.11111111111111,-99.3999918157404,-99.3999918157404,1.0
710000,1.2092397,-26.747437,165.66129032258064,-265.71378872312346,-265.71378872312346,1.0
720000,1.2092083,-40.488888,176.59649122807016,-450.6107151848929,-450.6107151848929,1.0
730000,1.2122785,-47.102608,170.92156862745097,-363.158926146371,-363.158926146371,1.0
740000,1.2136139,-34.14612,177.14285714285714,-190.5624954019274,-190.5624954019274,1.0
750000,1.2137144,-26.226948,177.63829787234042,-180.0680792991151,-180.0680792991151,1.0
760000,1.2126482,-52.943382,160.57575757575756,-255.27230042677658,-255.27230042677658,1.0
770000,1.2118363,-37.405663,177.46,-186.94509132235657,-186.94509132235657,1.0
780000,1.2121563,-40.858273,240.62962962962962,-41.50488387213813,-41.50488387213813,1.0
790000,1.2127063,-30.754295,185.0,-300.2810342722926,-300.2810342722926,1.0
800000,1.2127086,-42.130108,175.23529411764707,-269.69800621032715,-269.69800621032715,1.0
810000,1.2121046,-36.769325,196.5185185185185,-241.58546143445102,-241.58546143445102,1.0
820000,1.2112945,-24.269583,188.38297872340425,-242.47021922659366,-242.47021922659366,1.0
830000,1.2114207,-31.604424,200.1764705882353,-269.1288504600525,-269.1288504600525,1.0
840000,1.2120603,-19.623869,203.77777777777777,-289.48667975531686,-289.48667975531686,1.0
