Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.64870965,38.92173913043478,396.43625,283.54991787205574,283.54991787205574,1.0
20000,0.6495839,49.05714285714286,392.40802,215.10065879708245,215.10065879708245,1.0
30000,0.6495379,45.45497630331754,380.68015,248.16425460352087,248.16425460352087,1.0
40000,0.65120965,43.817351598173516,378.31583,246.97112774083374,246.97112774083374,1.0
50000,0.650574,45.225641025641025,373.9643,244.51505824757106,244.51505824757106,1.0
60000,0.65070397,48.70673076923077,374.2978,271.3821690196083,271.3821690196083,1.0
70000,0.65217614,46.3411214953271,372.1086,286.99286848808003,286.99286848808003,1.0
80000,0.65422255,42.76036866359447,366.28577,270.94734935936293,270.94734935936293,1.0
90000,0.6545507,44.283018867924525,363.54355,254.4977405703345,254.4977405703345,1.0
100000,0.655663,40.14545454545455,364.88278,280.55787026396706,280.55787026396706,1.0
110000,0.6573678,42.63513513513514,365.67053,281.45848204101526,281.45848204101526,1.0
120000,0.6589808,44.54314720812183,366.47516,312.1057870860027,312.1057870860027,1.0
130000,0.6582426,44.36363636363637,365.9479,311.1714751731836,311.1714751731836,1.0
140000,0.65697694,49.762331838565025,365.07,288.390869270478,288.390869270478,1.0
150000,0.65625,42.11009174311926,364.07678,306.8558616919951,306.8558616919951,1.0
160000,0.6570277,45.55825242718446,369.14487,351.65798651299826,351.65798651299826,1.0
170000,0.65945417,43.79017857142857,362.99323,315.7699013863291,315.7699013863291,1.0
180000,0.6601966,44.09004739336493,366.08405,319.4960400012304,319.4960400012304,1.0
190000,0.6599156,43.299019607843135,370.47607,342.2254280892073,342.2254280892073,1.0
200000,0.6599609,47.43961352657005,363.89682,313.80496374728006,313.80496374728006,1.0
210000,0.65919954,45.89719626168224,367.7882,345.8155906692917,345.8155906692917,1.0
220000,0.65863746,42.60377358490566,365.28244,322.48327473312054,322.48327473312054,1.0
230000,0.6591892,42.3177570093458,367.63937,335.06570965463663,335.06570965463663,1.0
240000,0.6591244,44.77450980392157,363.25476,346.52975519421034,346.52975519421034,1.0
250000,0.65810335,42.282407407407405,367.74622,358.03712318577897,358.03712318577897,1.0
260000,0.6578313,74.56190476190476,363.65982,346.9406914996188,346.9406914996188,1.0
270000,0.65734416,43.576190476190476,353.58987,291.9121315025148,291.9121315025148,1.0
280000,0.6581017,47.59405940594059,363.76416,332.3523951475256,332.3523951475256,1.0
290000,0.6586469,45.859223300970875,356.5415,326.77895413504706,326.77895413504706,1.0
300000,0.657603,44.06422018348624,366.16614,368.9400437545339,368.9400437545339,1.0
310000,0.6574386,46.2029702970297,356.4401,324.24411832468184,324.24411832468184,1.0
320000,0.65782577,44.556603773584904,360.61465,343.1195089100672,343.1195089100672,1.0
330000,0.65831125,57.61135371179039,366.32724,366.8197280977083,366.8197280977083,1.0
340000,0.66027915,45.65727699530517,363.6588,376.35860653530875,376.35860653530875,1.0
