Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,132.55555555555554,0.7769109,-107.86777649985419,-107.86777649985419,1.0
20000,1.4183125,371.07142857142856,0.4768129,0.34765965597970144,0.34765965597970144,1.0
30000,1.4164091,345.61538461538464,0.092161454,-101.46845815731929,-101.46845815731929,1.0
40000,1.4165568,491.42857142857144,-0.16207881,-129.45428448063987,-129.45428448063987,1.0
50000,1.4173054,730.9285714285714,-0.25806624,-28.986171654292516,-28.986171654292516,1.0
60000,1.4164197,721.0,-0.42893773,231.85000121593475,231.85000121593475,1.0
70000,1.4155508,960.4,-0.7009352,-57.60999431610107,-57.60999431610107,1.0
80000,1.4155136,822.0,-0.82604355,1151.8178222179413,1151.8178222179413,1.0
90000,1.4145669,1563.6666666666667,-0.9801334,257.3449056148529,257.3449056148529,1.0
100000,1.4125166,1888.0,-1.0709747,2392.949017047882,2392.949017047882,1.0
110000,1.409955,587.0,-1.3835772,974.1239757537842,974.1239757537842,1.0
120000,1.4084971,1619.8,-1.8964561,-197.16799817085266,-197.16799817085266,1.0
130000,1.4089599,1184.25,-1.875337,-45.93499147891998,-45.93499147891998,1.0
140000,1.4087203,1398.1818181818182,-1.8013357,-165.64899864196778,-165.64899864196778,1.0
150000,1.4082355,1365.0,-1.7355736,-227.23249876499176,-227.23249876499176,1.0
160000,1.4085296,1522.8,-1.8786695,629.4169138908386,629.4169138908386,1.0
170000,1.4086963,1218.4,-1.9882102,-173.05599966049195,-173.05599966049195,1.0
180000,1.4081707,780.0,-2.0873563,-146.6100002527237,-146.6100002527237,1.0
190000,1.4073973,None,-2.1463714,None,None,1.0
200000,1.4069961,1252.0,-2.0914993,-175.18000149726868,-175.18000149726868,1.0
210000,1.4065812,1339.0,-2.5076997,673.0091969966888,673.0091969966888,1.0
220000,1.4061134,4391.0,-2.8933969,-297.9249974489212,-297.9249974489212,1.0
230000,1.4052142,None,-2.8564026,-492.8699996471405,-492.8699996471405,1.0
240000,1.4036026,666.0,-2.5597541,-139.92999625205994,-139.92999625205994,1.0
250000,1.4033445,6031.25,-2.729409,-186.10193330049515,-186.10193330049515,1.0
260000,1.4046628,2676.0,-2.8106325,-260.16000020504,-260.16000020504,1.0
270000,1.4045964,935.5,-2.9753273,-30.433326443036396,-30.433326443036396,1.0
280000,1.4027787,5058.166666666667,-2.7504826,-361.5316628217697,-361.5316628217697,1.0
290000,1.4015894,5969.0,-3.4003735,-457.67999958992004,-457.67999958992004,1.0
300000,1.402046,3428.0,-3.47771,1757.1675310134888,1757.1675310134888,1.0
310000,1.4015886,1471.0,-3.8600378,-188.05500119924545,-188.05500119924545,1.0
320000,1.4007355,615.0,-3.7097485,-136.80999183654785,-136.80999183654785,1.0
330000,1.4002563,330.0,-3.6764717,-119.80999851226807,-119.80999851226807,1.0
340000,1.4010001,None,-3.729944,None,None,1.0
350000,1.400901,6708.0,-3.963733,2747.6200120449066,2747.6200120449066,1.0
360000,1.4031838,3430.0,-4.1017613,194.02000641822815,194.02000641822815,1.0
370000,1.4047174,3263.5,-4.308586,-294.9749995470047,-294.9749995470047,1.0
380000,1.4045691,303.5,-4.2756853,-117.87500154972076,-117.87500154972076,1.0
390000,1.4024885,3367.0,-4.3199143,-302.36999225616455,-302.36999225616455,1.0
400000,1.4014893,727.5,-4.3797774,-143.67000353336334,-143.67000353336334,1.0
410000,1.4027648,11391.0,-4.7561975,5466.1201429367065,5466.1201429367065,1.0
420000,1.402712,12581.0,-4.8875027,-605.0299835205078,-605.0299835205078,1.0
430000,1.4021964,4678.0,-4.9301305,-380.4900014400482,-380.4900014400482,1.0
440000,1.4016994,None,-4.873963,None,None,1.0
450000,1.4023068,None,-4.573554,None,None,1.0
460000,1.4010289,1897.0,-4.6189938,-213.4300000667572,-213.4300000667572,1.0
470000,1.3989486,None,-4.8676453,None,None,1.0
480000,1.3973833,None,-4.871839,None,None,1.0
490000,1.3964974,None,-4.707998,None,None,1.0
500000,1.396228,None,-4.733988,None,None,1.0
510000,1.3952473,None,-4.749655,None,None,1.0
520000,1.3940985,None,-4.730657,None,None,1.0
530000,1.3935864,14692.0,-4.812297,2878.1755278110504,2878.1755278110504,1.0
540000,1.3930577,None,-4.955767,None,None,1.0
550000,1.3927405,None,-4.9783177,None,None,1.0
560000,1.3923359,12604.0,-5.0731897,5945.798501253128,5945.798501253128,1.0
570000,1.3913277,7593.0,-5.4173093,-555.259996175766,-555.259996175766,1.0
580000,1.3897235,7373.0,-5.4931455,-542.8499908447266,-542.8499908447266,1.0
590000,1.3883791,None,-5.427714,None,None,1.0
600000,1.3875164,None,-5.409831,None,None,1.0
610000,1.3871348,None,-5.2020297,None,None,1.0
620000,1.3857328,2669.0,-5.187256,-259.4399981498718,-259.4399981498718,1.0
630000,1.3846542,None,-5.1734805,None,None,1.0
640000,1.3846627,None,-5.093672,None,None,1.0
650000,1.3838899,11799.25,-5.253061,-807.9324977993965,-807.9324977993965,1.0
660000,1.3839724,11716.0,-4.957224,-802.5799956321716,-802.5799956321716,1.0
670000,1.382636,4542.0,-4.983889,-371.844997048378,-371.844997048378,1.0
680000,1.3823829,9551.0,-4.8524537,-672.4899923801422,-672.4899923801422,1.0
690000,1.3829035,13270.0,-4.773705,29.39017117023468,29.39017117023468,1.0
700000,1.3826784,807.0,-4.784672,-148.17000269889832,-148.17000269889832,1.0
710000,1.3823472,9191.0,-4.8343487,500.14875078201294,500.14875078201294,1.0
720000,1.3818301,10790.0,-5.08097,6803.367122888565,6803.367122888565,1.0
730000,1.3801935,13099.0,-5.1843667,5716.8102350234985,5716.8102350234985,1.0
740000,1.3801396,16609.5,-5.215482,1204.393597483635,1204.393597483635,1.0
750000,1.3796586,None,-5.2610755,None,None,1.0
760000,1.3802168,None,-5.0823216,None,None,1.0
770000,1.3808179,None,-5.0190387,None,None,1.0
780000,1.3803583,3808.0,-4.8223915,-328.67000007629395,-328.67000007629395,1.0
790000,1.3801877,None,-4.754727,None,None,1.0
800000,1.3792042,None,-4.6457496,None,None,1.0
810000,1.3782423,None,-4.4309616,None,None,1.0
820000,1.3779435,17075.0,-4.3591385,4227.389681339264,4227.389681339264,1.0
830000,1.3776877,None,-4.3263063,None,None,1.0
840000,1.3765919,None,-4.384926,None,None,1.0
850000,1.3751547,10932.0,-4.1077247,1795.4174993038177,1795.4174993038177,1.0
860000,1.373824,4254.0,-4.4236965,2749.1799595355988,2749.1799595355988,1.0
