Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
210000,1.4610691,-1633.4957,386.5,-230920.0,-230920.0,1.0
220000,1.4608729,-1900.5427,1120.625,-1515681.835056305,-1515681.835056305,1.0
230000,1.4599726,-1912.4987,1191.888888888889,-788335.6470743815,-788335.6470743815,1.0
240000,1.4588777,-2007.0463,1131.4,-586086.6968902588,-586086.6968902588,1.0
250000,1.4583254,-2092.883,733.3636363636364,-549866.5393094149,-549866.5393094149,1.0
260000,1.4573642,-2189.8057,741.1818181818181,-479228.14129361237,-479228.14129361237,1.0
270000,1.4556024,-1942.748,670.3529411764706,-340554.9489871754,-340554.9489871754,1.0
280000,1.4554828,-1881.8146,507.6190476190476,-188068.80990891228,-188068.80990891228,1.0
290000,1.4541086,-1976.9912,502.3333333333333,-226140.2784917922,-226140.2784917922,1.0
300000,1.4538782,-2002.5118,537.0,-258864.05605163574,-258864.05605163574,1.0
310000,1.4521396,-1894.6322,382.0,-156496.38602271446,-156496.38602271446,1.0
320000,1.4498888,-1984.1935,418.5833333333333,-122858.70630413553,-122858.70630413553,1.0
330000,1.4469575,-1916.0499,318.037037037037,-89108.92357767039,-89108.92357767039,1.0
340000,1.4453738,-1989.5503,422.8,-71014.3558166504,-71014.3558166504,1.0
350000,1.4434755,-1939.6149,372.96774193548384,-63826.80701904297,-63826.80701904297,1.0
360000,1.4395074,-1869.7997,297.8181818181818,-54735.029247508326,-54735.029247508326,1.0
370000,1.4360417,-2031.4792,229.58823529411765,-33289.52594353171,-33289.52594353171,1.0
380000,1.4342202,-2014.3547,341.7647058823529,-38775.05978887221,-38775.05978887221,1.0
390000,1.4324301,-1828.1261,231.33333333333334,-31460.64952697754,-31460.64952697754,1.0
400000,1.4302975,-2045.2747,339.78125,-19267.28674854952,-19267.28674854952,1.0
410000,1.4281523,-1823.8616,205.76923076923077,-22193.922970581054,-22193.922970581054,1.0
420000,1.4264513,-2003.3656,247.88888888888889,-18182.429929945203,-18182.429929945203,1.0
430000,1.4253272,-1862.6774,306.76190476190476,-8061.298427036831,-8061.298427036831,1.0
440000,1.424561,-2055.9883,258.37142857142857,-3772.262983921596,-3772.262983921596,1.0
450000,1.4237258,-2024.733,272.69444444444446,-3439.572812398275,-3439.572812398275,1.0
460000,1.422594,-1905.9568,247.775,-5887.434580993652,-5887.434580993652,1.0
470000,1.420594,-2029.8676,250.08333333333334,504.11328887939453,504.11328887939453,1.0
480000,1.4189707,-1899.8657,295.1951219512195,7454.4285263433685,7454.4285263433685,1.0
