Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.327649,27.489742,402.5,74.30000257492065,74.30000257492065,1.0
20000,1.327408,0.10718727,1057.7142857142858,-3067.8353692463465,-3067.8353692463465,1.0
30000,1.3269212,-6.868558,1536.1666666666667,-2222.6760795116425,-2222.6760795116425,1.0
40000,1.3254942,-28.328865,1186.0,690.8866624236107,690.8866624236107,1.0
50000,1.3240674,-21.705486,1205.375,-1172.9175060391426,-1172.9175060391426,1.0
60000,1.320402,-6.5020666,1856.6666666666667,-1569.987830294503,-1569.987830294503,1.0
70000,1.3173217,-29.713528,1166.142857142857,-1704.9878925595965,-1704.9878925595965,1.0
80000,1.3136932,-23.939743,1419.5555555555557,-3386.736201763153,-3386.736201763153,1.0
90000,1.3125714,-30.36087,886.6363636363636,-320.1280645890669,-320.1280645890669,1.0
100000,1.3126146,-30.924223,836.0714285714286,-595.6174887248447,-595.6174887248447,1.0
110000,1.3142369,-27.358047,557.6666666666666,-618.7314575513204,-618.7314575513204,1.0
120000,1.3141855,-26.719059,845.1176470588235,182.77257386375877,182.77257386375877,1.0
130000,1.3128867,-40.779522,525.8235294117648,-428.62382555007935,-428.62382555007935,1.0
140000,1.3117889,-25.794905,424.04,168.89029774458513,168.89029774458513,1.0
150000,1.3114536,-32.79317,633.4705882352941,-309.9821164733485,-309.9821164733485,1.0
160000,1.310801,-26.301542,460.85714285714283,-334.54996143068587,-334.54996143068587,1.0
170000,1.3098966,-26.8327,588.5416666666666,-638.9181780815125,-638.9181780815125,1.0
180000,1.309356,-39.10062,488.0,-27.224539055543787,-27.224539055543787,1.0
190000,1.3089706,-41.372646,492.3157894736842,-553.9211914413854,-553.9211914413854,1.0
200000,1.3088821,-27.915405,454.4,-342.84898195266726,-342.84898195266726,1.0
210000,1.3082846,-32.05562,494.3333333333333,37.711060660226,37.711060660226,1.0
220000,1.3069987,-36.703506,532.1578947368421,-82.03744378842805,-82.03744378842805,1.0
230000,1.3062259,-30.518122,475.2083333333333,-394.86465082565945,-394.86465082565945,1.0
240000,1.3059311,-36.488304,450.1304347826087,-240.40574187817782,-240.40574187817782,1.0
250000,1.3064991,-32.66273,438.1904761904762,-273.89506144750686,-273.89506144750686,1.0
260000,1.3079338,-34.35628,414.4782608695652,-233.5450653200564,-233.5450653200564,1.0
270000,1.308454,-31.697824,469.5652173913044,-207.06943657087243,-207.06943657087243,1.0
280000,1.306995,-42.438877,340.23809523809524,-151.60056254977272,-151.60056254977272,1.0
290000,1.3044612,-37.936764,628.7272727272727,1151.3510871841795,1151.3510871841795,1.0
300000,1.3018616,-44.556473,414.27272727272725,-9.852231958638066,-9.852231958638066,1.0
310000,1.2990917,-39.09769,370.0,-180.47452170508248,-180.47452170508248,1.0
320000,1.296766,-44.87477,438.04347826086956,573.0669425881428,573.0669425881428,1.0
330000,1.296099,-32.84899,452.15384615384613,1552.57077057545,1552.57077057545,1.0
340000,1.2961742,-36.579407,261.6,-46.15751754760742,-46.15751754760742,1.0
