Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4132539,-10.150247,129.6904761904762,-11.821951655352988,-11.821951655352988,1.0
20000,1.410041,-10.186107,144.75925925925927,-12.860000517151573,-12.860000517151573,1.0
30000,1.407725,-10.037884,154.52941176470588,-12.73725529979257,-12.73725529979257,1.0
40000,1.4072826,-9.724048,177.64150943396226,-13.66153897345066,-13.66153897345066,1.0
50000,1.4061065,-9.392445,154.79310344827587,-13.408474974713084,-13.408474974713084,1.0
60000,1.4045382,-8.679182,184.64705882352942,-13.617647481899635,-13.617647481899635,1.0
70000,1.4035362,-8.552407,169.61702127659575,-14.085106738070225,-14.085106738070225,1.0
80000,1.4018214,-8.427475,159.44444444444446,-12.807407871440605,-12.807407871440605,1.0
90000,1.4007604,-7.874349,199.34545454545454,-15.44545501795682,-15.44545501795682,1.0
100000,1.4005753,-8.055471,171.7719298245614,-12.622807397784895,-12.622807397784895,1.0
110000,1.3988069,-7.6607933,157.40425531914894,-12.440425921944861,-12.440425921944861,1.0
120000,1.3981456,-7.3024774,200.4375,-14.481250399102768,-14.481250399102768,1.0
130000,1.3982421,-7.170353,175.44230769230768,-13.332692622565306,-13.332692622565306,1.0
140000,1.3975182,-7.031272,231.87179487179486,-16.03589790295332,-16.03589790295332,1.0
150000,1.3970032,-6.916621,160.41176470588235,-12.334615786774801,-12.334615786774801,1.0
160000,1.3971541,-6.556172,165.45,-12.142857476714111,-12.142857476714111,1.0
170000,1.3971369,-6.479282,195.0,-14.100000394715202,-14.100000394715202,1.0
180000,1.3973238,-6.2798243,161.75675675675674,-11.118919196765166,-11.118919196765166,1.0
190000,1.397397,-6.0404773,205.46875,-13.80312532838434,-13.80312532838434,1.0
200000,1.3971866,-5.8933973,227.3939393939394,-13.460606342012232,-13.460606342012232,1.0
210000,1.397682,-5.737575,480.26666666666665,-26.828571812648857,-26.828571812648857,1.0
220000,1.3970231,-5.679582,258.8,-15.137500433484092,-15.137500433484092,1.0
230000,1.3956959,-5.5031414,350.2162162162162,-18.797297680096047,-18.797297680096047,1.0
240000,1.3949727,-5.484925,168.46875,-8.331250166520476,-8.331250166520476,1.0
250000,1.3939415,-5.265215,253.9,-11.783333551635344,-11.783333551635344,1.0
260000,1.3926911,-5.132564,481.4166666666667,-25.186111483102042,-25.186111483102042,1.0
270000,1.3914404,-5.077478,282.27027027027026,-13.521621826331359,-13.521621826331359,1.0
280000,1.3903983,-4.9979916,190.52631578947367,-9.583783891555425,-9.583783891555425,1.0
290000,1.3902025,-5.0015674,211.3783783783784,-9.813158027239536,-9.813158027239536,1.0
300000,1.3893132,-4.8611007,262.125,-12.384375237859786,-12.384375237859786,1.0
310000,1.3884792,-4.7281575,253.75,-11.370000155642629,-11.370000155642629,1.0
320000,1.3880625,-4.641434,162.84848484848484,-7.018182012393619,-7.018182012393619,1.0
330000,1.3868283,-4.55854,336.71794871794873,-15.551282327526655,-15.551282327526655,1.0
340000,1.3852625,-4.3350525,323.8510638297872,-14.623913268680157,-14.623913268680157,1.0
350000,1.3837236,-4.3244433,261.75,-10.740540666556036,-10.740540666556036,1.0
360000,1.3827274,-4.1380744,312.3469387755102,-15.055102317460946,-15.055102317460946,1.0
370000,1.381844,-4.0888324,292.9074074074074,-10.733962425364638,-10.733962425364638,1.0
380000,1.381039,-3.8663785,361.04,-18.16600023403764,-18.16600023403764,1.0
390000,1.3803916,-3.7797925,167.41379310344828,-6.720689714597217,-6.720689714597217,1.0
400000,1.3797615,-3.6907322,207.43636363636364,-8.448214387654193,-8.448214387654193,1.0
410000,1.3793539,-3.6123195,163.65,-5.80169495144638,-5.80169495144638,1.0
420000,1.3788446,-3.4544625,139.46875,-5.623076952306124,-5.623076952306124,1.0
430000,1.3782594,-3.3973434,141.9206349206349,-5.501612935455576,-5.501612935455576,1.0
440000,1.3777032,-3.285477,199.31746031746033,-7.698437577462755,-7.698437577462755,1.0
450000,1.377342,-3.227016,190.15625,-7.361538510139172,-7.361538510139172,1.0
460000,1.3772562,-3.1204808,165.3859649122807,-5.725000006495975,-5.725000006495975,1.0
470000,1.3771491,-3.11532,129.9016393442623,-4.23934425865529,-4.23934425865529,1.0
480000,1.3770673,-2.951213,140.07575757575756,-4.774242432844458,-4.774242432844458,1.0
490000,1.3770192,-2.8718712,140.01298701298703,-5.349350679617424,-5.349350679617424,1.0
500000,1.3769819,-2.8393826,127.93650793650794,-4.280952379225739,-4.280952379225739,1.0
