Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.3302898,-199.5553,229.28205128205127,-2015.7782875700282,-2015.7782875700282,1.0
20000,1.3302354,-198.89699,261.125,-3476.8866966317755,-3476.8866966317755,1.0
30000,1.3332181,-195.31125,233.27272727272728,-1928.759100714038,-1928.759100714038,1.0
40000,1.3334384,-205.32149,223.97560975609755,-3200.358671734065,-3200.358671734065,1.0
50000,1.3333944,-205.2258,232.71428571428572,-3636.586708075755,-3636.586708075755,1.0
60000,1.3336048,-196.16779,246.02325581395348,-3067.934875215315,-3067.934875215315,1.0
70000,1.3348916,-200.91849,225.95,-1580.863771876979,-1580.863771876979,1.0
80000,1.3333896,-196.3694,237.52272727272728,-2261.589250159688,-2261.589250159688,1.0
90000,1.3328513,-209.87747,256.425,-4670.005177882875,-4670.005177882875,1.0
100000,1.3332704,-201.42188,236.73809523809524,-2053.268186891352,-2053.268186891352,1.0
110000,1.3334738,-200.8874,242.875,-2993.692886029813,-2993.692886029813,1.0
120000,1.332584,-203.72571,240.33333333333334,-2267.7847007046166,-2267.7847007046166,1.0
130000,1.3310413,-206.15277,236.6,-3405.912231020868,-3405.912231020868,1.0
140000,1.3300087,-206.22656,245.16666666666666,-4026.971815821379,-4026.971815821379,1.0
150000,1.3302654,-205.07158,241.02380952380952,-3041.54737231203,-3041.54737231203,1.0
160000,1.3312322,-199.4386,224.16666666666666,-2962.341793996814,-2962.341793996814,1.0
170000,1.3319348,-202.50963,253.5581395348837,-1898.2233796181888,-1898.2233796181888,1.0
180000,1.3320645,-198.37892,238.73170731707316,-3513.8671743217633,-3513.8671743217633,1.0
190000,1.3329501,-213.4635,232.97619047619048,-3665.279445368353,-3665.279445368353,1.0
200000,1.3336034,-203.41754,245.425,-3856.0562946240652,-3856.0562946240652,1.0
210000,1.3330086,-200.53947,229.609756097561,-2105.5150008970395,-2105.5150008970395,1.0
220000,1.3331345,-203.57352,250.625,-4083.868303896126,-4083.868303896126,1.0
230000,1.3343635,-203.56519,246.0731707317073,-2986.5411024224354,-2986.5411024224354,1.0
240000,1.3361176,-201.88777,245.02380952380952,-3301.146340462913,-3301.146340462913,1.0
250000,1.3374401,-209.23334,230.25,-2427.366620578008,-2427.366620578008,1.0
260000,1.3385135,-207.81277,245.72093023255815,-2763.524653473791,-2763.524653473791,1.0
270000,1.3391714,-204.94612,235.925,-2598.254073907042,-2598.254073907042,1.0
280000,1.3391593,-204.00127,258.84615384615387,-3142.6225646990592,-3142.6225646990592,1.0
290000,1.3379866,-215.21387,230.925,-4003.082658459228,-4003.082658459228,1.0
300000,1.3363982,-202.93085,233.390243902439,-2798.66613515125,-2798.66613515125,1.0
310000,1.3360218,-212.57356,239.0681818181818,-3284.92739165087,-3284.92739165087,1.0
320000,1.335827,-201.84404,252.82926829268294,-3757.8265910894816,-3757.8265910894816,1.0
330000,1.3360729,-209.29845,205.8780487804878,-1930.416455487898,-1930.416455487898,1.0
340000,1.3359721,-217.8737,232.14285714285714,-4510.4208233912495,-4510.4208233912495,1.0
350000,1.3361069,-203.22827,255.0487804878049,-3835.7825850518648,-3835.7825850518648,1.0
360000,1.3366461,-201.73192,255.02325581395348,-2694.5603409938753,-2694.5603409938753,1.0
370000,1.336436,-206.43867,242.97560975609755,-4556.0145340150575,-4556.0145340150575,1.0
380000,1.3361288,-208.88922,225.775,-1795.3200800040986,-1795.3200800040986,1.0
390000,1.336158,-202.03098,251.6,-3796.343030111259,-3796.343030111259,1.0
400000,1.3363552,-215.5205,248.8421052631579,-3061.653833337508,-3061.653833337508,1.0
410000,1.336411,-209.9864,241.8372093023256,-3843.076622209707,-3843.076622209707,1.0
420000,1.3362029,-208.78302,259.609756097561,-4862.863548406332,-4862.863548406332,1.0
430000,1.3360695,-208.69102,247.64102564102564,-4585.971230436033,-4585.971230436033,1.0
440000,1.3362757,-201.87543,233.28947368421052,-3076.1087122742665,-3076.1087122742665,1.0
450000,1.3365046,-201.42729,270.94871794871796,-3649.6013082310674,-3649.6013082310674,1.0
460000,1.3365866,-208.70555,276.8918918918919,-5726.682710613225,-5726.682710613225,1.0
470000,1.3365959,-211.03632,236.05128205128204,-3445.3474441177555,-3445.3474441177555,1.0
480000,1.3366588,-203.98132,262.3333333333333,-3704.3498714381726,-3704.3498714381726,1.0
490000,1.336696,-206.24619,299.61538461538464,-4396.006844633976,-4396.006844633976,1.0
500000,1.336697,-212.4899,256.2631578947368,-3746.4300371539707,-3746.4300371539707,1.0
