Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.8204984,1244.655,353.68,28287.03548336029,28287.03548336029,1.0
20000,0.8193783,1258.0072,500.42857142857144,50026.03235314109,50026.03235314109,1.0
30000,0.81739604,1226.9723,522.15,51919.508374404904,51919.508374404904,1.0
40000,0.8172302,1281.7682,506.36842105263156,51564.44801089638,51564.44801089638,1.0
50000,0.8176742,1286.8733,414.3809523809524,43517.70247831799,43517.70247831799,1.0
60000,0.8180967,1327.669,548.5714285714286,63486.85418119885,63486.85418119885,1.0
70000,0.8183311,1300.4235,592.8125,60058.911001205444,60058.911001205444,1.0
80000,0.8199292,1268.1503,477.94117647058823,51027.982648064106,51027.982648064106,1.0
90000,0.8181346,1357.3573,621.75,75580.54724273682,75580.54724273682,1.0
100000,0.8167867,1348.877,508.1666666666667,56348.20702446831,56348.20702446831,1.0
110000,0.8154604,1455.3452,360.3478260869565,36443.09028326947,36443.09028326947,1.0
120000,0.81493354,1471.8414,553.5454545454545,61460.95230657404,61460.95230657404,1.0
130000,0.81499594,1400.8046,431.0952380952381,41939.95786394392,41939.95786394392,1.0
140000,0.81434894,1464.8501,472.6818181818182,51289.01743940874,51289.01743940874,1.0
150000,0.81308544,1538.5524,405.64,39806.913411254885,39806.913411254885,1.0
160000,0.8123917,1451.2952,444.95238095238096,44279.88563610258,44279.88563610258,1.0
170000,0.8112816,1454.3794,621.7222222222222,66323.27430258857,66323.27430258857,1.0
180000,0.8104221,1557.5471,442.72727272727275,44933.19080422141,44933.19080422141,1.0
190000,0.8109137,1580.607,394.9166666666667,38336.77904160818,38336.77904160818,1.0
200000,0.8120313,1516.1788,703.6428571428571,86890.23270240196,86890.23270240196,1.0
210000,0.8135567,1551.0675,460.6666666666667,51099.56226870888,51099.56226870888,1.0
220000,0.814634,1509.397,671.3529411764706,74340.61600988051,74340.61600988051,1.0
230000,0.8144938,1535.3854,818.75,97836.27525583903,97836.27525583903,1.0
240000,0.8141379,1530.6881,513.25,54915.09209442139,54915.09209442139,1.0
250000,0.8136744,1662.4932,567.7619047619048,59745.934244791664,59745.934244791664,1.0
260000,0.81266695,1541.386,783.1666666666666,96541.24420987566,96541.24420987566,1.0
270000,0.810555,1606.0679,655.0625,69520.33738136292,69520.33738136292,1.0
280000,0.8092893,1644.6902,573.5294117647059,59620.427108441974,59620.427108441974,1.0
290000,0.8089021,1563.926,821.0,102715.01892606435,102715.01892606435,1.0
300000,0.8078959,1758.2623,554.75,60185.11403465271,60185.11403465271,1.0
310000,0.80693,1764.4059,452.23809523809524,48506.52505093529,48506.52505093529,1.0
320000,0.806253,1776.1572,727.6875,86442.65228271484,86442.65228271484,1.0
330000,0.80391616,1750.3041,493.4117647058824,50435.68443163703,50435.68443163703,1.0
340000,0.80346745,1843.6932,571.8,65111.675393676756,65111.675393676756,1.0
350000,0.80211586,1817.5924,657.8,71143.7164254566,71143.7164254566,1.0
360000,0.801085,1840.8252,566.2,62442.10812711716,62442.10812711716,1.0
370000,0.8027879,1809.7383,612.5555555555555,69797.83488379585,69797.83488379585,1.0
380000,0.80272484,1815.4272,565.9333333333333,60821.71814935394,60821.71814935394,1.0
390000,0.8025428,1864.7123,651.8125,73780.96297645569,73780.96297645569,1.0
400000,0.8034427,1965.288,553.5,68725.51500787056,68725.51500787056,1.0
410000,0.80278397,1918.6868,635.0625,65619.95145281624,65619.95145281624,1.0
420000,0.80437624,1878.4517,541.5625,62399.15480136871,62399.15480136871,1.0
430000,0.80423605,1826.3525,730.6,85945.24803263346,85945.24803263346,1.0
440000,0.80365866,1875.8472,619.6153846153846,74724.27893653282,74724.27893653282,1.0
450000,0.8040814,1934.7024,897.8461538461538,102393.48055707492,102393.48055707492,1.0
460000,0.8051138,1948.8971,614.2941176470588,75092.9301331464,75092.9301331464,1.0
470000,0.8050311,1790.7251,988.0,108851.79122779798,108851.79122779798,1.0
480000,0.8048551,1906.5763,1173.888888888889,144427.09003770683,144427.09003770683,1.0
490000,0.8039469,1993.3228,666.0625,75541.7262058258,75541.7262058258,1.0
500000,0.80363125,1737.3339,1026.0,114740.51556777954,114740.51556777954,1.0
