Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4374774,-663.2143,285.4193548387097,-47020.99773185484,-47020.99773185484,1.0
20000,1.4362166,-770.572,311.8125,-176735.3772277832,-176735.3772277832,1.0
30000,1.4360394,-840.9213,271.27777777777777,-126975.84429253472,-126975.84429253472,1.0
40000,1.4365731,-880.826,290.09090909090907,-108467.69360351562,-108467.69360351562,1.0
50000,1.4377805,-923.2451,337.42857142857144,-157855.63780556957,-157855.63780556957,1.0
60000,1.4376053,-950.4047,293.5,-95627.63671875,-95627.63671875,1.0
70000,1.4371797,-1037.5696,310.79411764705884,-156482.8985523897,-156482.8985523897,1.0
80000,1.4375494,-1051.9525,295.9375,-139526.81640625,-139526.81640625,1.0
90000,1.4370738,-1027.7415,291.78125,-128920.12949810606,-128920.12949810606,1.0
100000,1.437383,-1070.7479,302.0882352941176,-105790.60522460938,-105790.60522460938,1.0
110000,1.4372247,-1076.7465,288.4117647058824,-91266.6004710478,-91266.6004710478,1.0
120000,1.4385633,-1079.4362,313.52941176470586,-120314.49052159926,-120314.49052159926,1.0
130000,1.4399772,-1043.9047,293.48571428571427,-61254.99835379465,-61254.99835379465,1.0
140000,1.4410048,-1126.8551,287.1212121212121,-95589.58806818182,-95589.58806818182,1.0
150000,1.4410361,-1118.7219,278.0285714285714,-114442.115625,-114442.115625,1.0
160000,1.4398798,-1111.4696,317.6,-131779.31572265626,-131779.31572265626,1.0
170000,1.439487,-1085.2603,329.64516129032256,-100658.89916992188,-100658.89916992188,1.0
180000,1.4403888,-1158.2112,303.0571428571429,-114842.22315809462,-114842.22315809462,1.0
190000,1.4411216,-1155.7213,307.51612903225805,-118240.06829637097,-118240.06829637097,1.0
200000,1.4412683,-1129.2924,289.3235294117647,-109434.47332404641,-109434.47332404641,1.0
210000,1.4415517,-1161.4468,310.9375,-91463.30308948863,-91463.30308948863,1.0
220000,1.4419222,-1192.8684,321.25,-125119.79998779297,-125119.79998779297,1.0
