Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,0.8626327,398.9954,232.1891891891892,-3022.3665704984924,-3022.3665704984924,1.0
20000,0.8615675,537.698,276.6842105263158,8414.141288241824,8414.141288241824,1.0
30000,0.86168146,408.19327,233.86111111111111,-666.093145834433,-666.093145834433,1.0
40000,0.86243796,359.11792,275.5357142857143,23854.261703218734,23854.261703218734,1.0
50000,0.86244965,378.92926,352.4642857142857,62517.077585901534,62517.077585901534,1.0
60000,0.862297,463.32178,312.43589743589746,16070.238095014523,16070.238095014523,1.0
70000,0.86125,429.29333,280.8529411764706,36913.62551924762,36913.62551924762,1.0
80000,0.8594307,380.05975,240.53125,12602.19230222702,12602.19230222702,1.0
90000,0.8574659,374.54965,217.3684210526316,8504.877408278617,8504.877408278617,1.0
100000,0.8578418,443.032,389.8048780487805,56255.98705468527,56255.98705468527,1.0
110000,0.8579995,447.08646,221.1590909090909,-10.4479848688299,-10.4479848688299,1.0
120000,0.8578381,377.9383,232.03571428571428,6045.798533848354,6045.798533848354,1.0
130000,0.8573884,370.4249,272.09090909090907,13781.92824045817,13781.92824045817,1.0
140000,0.85682464,422.70093,413.19444444444446,67316.51078722213,67316.51078722213,1.0
150000,0.8559596,468.10773,230.025,275.7515145301819,275.7515145301819,1.0
160000,0.85491735,460.53098,224.47058823529412,13060.343860850615,13060.343860850615,1.0
170000,0.8542384,461.8958,354.48571428571427,80656.43583177839,80656.43583177839,1.0
180000,0.8537654,418.1284,255.27906976744185,11041.26109021209,11041.26109021209,1.0
190000,0.85313773,467.8885,240.26470588235293,1078.4386136672076,1078.4386136672076,1.0
200000,0.8532478,421.6219,266.55555555555554,25954.495027330187,25954.495027330187,1.0
210000,0.8540002,431.68103,228.0,-180.40349079000538,-180.40349079000538,1.0
220000,0.8539853,405.18356,502.8529411764706,118808.70981156486,118808.70981156486,1.0
230000,0.85326946,438.29086,245.02941176470588,810.5572952943689,810.5572952943689,1.0
240000,0.8521708,389.80966,272.9642857142857,36346.772183418274,36346.772183418274,1.0
250000,0.8506504,500.41284,341.35483870967744,48394.80094558962,48394.80094558962,1.0
260000,0.849248,432.83807,346.89473684210526,49568.46638508847,49568.46638508847,1.0
270000,0.84847176,487.27475,243.97222222222223,15591.674597316318,15591.674597316318,1.0
280000,0.84787434,439.76456,265.3448275862069,20297.623683008653,20297.623683008653,1.0
290000,0.8475454,468.09106,266.11538461538464,22619.47461414337,22619.47461414337,1.0
300000,0.84780455,457.30994,442.4594594594595,93824.54884431169,93824.54884431169,1.0
310000,0.8475431,443.91312,239.11428571428573,992.8247252328056,992.8247252328056,1.0
320000,0.8473628,490.78983,223.375,7.344616254170735,7.344616254170735,1.0
330000,0.84667456,437.38205,212.88888888888889,-998.6567412482368,-998.6567412482368,1.0
340000,0.84658176,487.54135,448.05263157894734,92408.41455549943,92408.41455549943,1.0
350000,0.8467545,479.49564,322.925,48420.46196308136,48420.46196308136,1.0
360000,0.84639305,423.32605,255.51724137931035,12309.18192830579,12309.18192830579,1.0
370000,0.84677786,446.07523,325.5769230769231,52174.468296051025,52174.468296051025,1.0
380000,0.8468143,469.59738,388.63157894736844,72546.55730207343,72546.55730207343,1.0
390000,0.8463702,463.56555,193.46666666666667,-371.16236555311417,-371.16236555311417,1.0
400000,0.8457068,510.54895,250.57575757575756,7166.504638787472,7166.504638787472,1.0
410000,0.844788,462.46985,269.1034482758621,41859.15251232016,41859.15251232016,1.0
420000,0.8442311,501.3109,363.425,59525.86338748932,59525.86338748932,1.0
430000,0.8442251,521.68414,209.0212765957447,10103.950954274927,10103.950954274927,1.0
440000,0.8439945,577.116,222.52380952380952,8663.956321353004,8663.956321353004,1.0
450000,0.84380656,564.35724,228.9375,-435.1531299352646,-435.1531299352646,1.0
460000,0.84379756,526.04456,455.03333333333336,110552.92229919434,110552.92229919434,1.0
470000,0.84382194,443.98392,208.75675675675674,307.05667000847893,307.05667000847893,1.0
480000,0.8437808,496.22925,289.3529411764706,1742.962162915398,1742.962162915398,1.0
490000,0.84373045,527.28314,236.16,281.4876089477539,281.4876089477539,1.0
500000,0.8436965,526.7847,419.5945945945946,93541.74699539608,93541.74699539608,1.0
